"","number_of_peptides_A_3","number_of_peptides_A_2","number_of_peptides_B_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_A_1"
"1",8,7,8,6,7,5
"2",14,13,15,10,13,13
"4",10,10,13,9,10,7
"5",15,12,14,14,14,14
"6",16,11,12,13,15,11
"7",14,15,15,12,18,13
"10",30,25,19,31,30,29
"11",14,14,11,18,12,14
"12",8,6,7,8,8,8
"13",17,15,17,20,17,19
"14",24,20,23,21,23,17
"15",43,40,40,38,41,43
"17",2,2,3,2,4,1
"19",12,12,12,7,8,11
"21",9,7,7,9,7,7
"23",6,8,7,7,7,7
"24",63,64,71,66,61,60
"25",14,13,12,12,15,12
"26",13,11,8,11,10,13
"27",7,5,6,6,6,6
"28",11,11,10,13,13,12
"29",25,23,25,28,22,25
"31",60,52,55,48,54,48
"33",9,8,12,10,10,7
"34",18,8,15,14,11,9
"36",56,54,65,64,61,51
"37",13,10,9,8,11,10
"38",6,7,7,11,8,10
"39",16,15,18,13,14,13
"41",6,5,6,5,4,5
"42",6,7,10,8,8,9
"43",7,8,8,8,7,5
"44",14,14,16,13,17,14
"45",8,9,8,7,8,6
"46",4,5,4,4,5,5
"47",24,23,29,23,29,26
"48",41,40,46,40,48,43
"49",11,9,11,12,11,11
"50",2,4,3,5,4,5
"52",8,7,7,9,8,5
"54",6,7,7,5,8,7
"56",6,7,8,8,8,7
"57",54,53,59,55,52,51
"58",9,9,10,6,11,9
"60",10,8,10,8,10,12
"61",1,2,3,3,3,2
"62",16,14,14,16,17,13
"63",14,14,14,15,16,12
"64",2,6,4,5,5,2
"65",4,6,5,6,5,6
"66",8,9,10,9,10,10
"68",4,3,4,4,5,3
"69",15,14,13,19,15,13
"70",10,8,11,9,7,9
"71",16,22,18,22,16,18
"72",2,2,2,2,2,2
"73",9,9,8,12,11,12
"74",9,8,8,9,8,7
"75",13,14,13,13,14,13
"76",10,9,9,10,11,9
"78",19,19,19,20,18,21
"79",6,4,7,5,4,4
"81",6,8,6,8,10,8
"82",4,5,6,5,8,4
"83",17,11,17,17,10,11
"85",9,9,8,9,10,8
"86",1,1,1,1,1,2
"87",11,12,9,9,9,8
"88",13,12,16,16,15,11
"89",21,23,19,20,17,20
"91",10,8,10,11,10,11
"92",25,24,31,27,31,28
"95",4,4,5,6,4,4
"96",13,12,11,10,11,14
"97",10,16,17,13,17,16
"101",6,6,5,5,8,8
"103",15,14,14,13,12,12
"104",10,9,10,8,10,9
"105",3,2,4,2,2,2
"106",6,5,6,6,6,6
"107",23,27,26,21,24,21
"108",15,13,16,14,17,17
"109",9,10,9,10,10,9
"110",11,11,10,8,10,11
"112",9,7,9,7,9,8
"113",3,7,6,8,5,7
"116",5,4,4,4,3,2
"117",5,6,5,9,6,9
"118",6,5,4,4,6,5
"119",2,1,3,2,2,3
"120",8,6,8,7,7,6
"122",8,5,8,5,10,5
"123",9,5,6,4,5,11
"124",33,31,36,26,32,26
"125",10,12,14,14,13,12
"126",7,8,8,7,8,9
"127",13,11,14,13,14,15
