"","number_of_peptides_B_3","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_A_1"
"1",11,11,11,11,11,11
"3",7,7,6,6,6,7
"4",2,1,2,1,2,1
"5",14,13,12,17,15,12
"6",2,3,2,2,2,3
"7",26,24,26,24,23,25
"8",8,10,9,9,9,8
"10",6,5,4,5,3,5
"11",10,8,10,10,10,9
"12",6,5,6,5,6,7
"13",2,3,2,2,3,2
"14",7,7,7,7,7,7
"16",31,28,30,27,29,26
"17",21,20,21,20,21,22
"19",13,13,12,15,12,11
"21",9,9,9,9,9,9
"22",5,3,5,5,5,5
"23",10,10,10,10,10,10
"24",2,2,2,1,2,1
"25",1,1,1,1,1,2
"26",11,11,12,11,13,12
"27",3,4,4,4,4,3
"28",4,3,4,4,4,4
"29",4,5,3,4,5,4
"30",27,25,25,26,25,21
"31",13,12,13,12,13,11
"32",3,3,3,3,3,3
"33",4,4,3,5,5,5
"34",4,2,4,3,3,3
"35",11,12,7,12,13,12
"36",7,5,6,5,7,5
"37",3,5,3,3,4,3
"38",22,22,20,24,22,23
"39",2,2,1,1,1,2
"40",1,2,1,2,2,1
"41",5,3,3,3,3,3
"42",9,9,9,9,9,8
"43",8,8,9,8,10,9
"44",15,16,16,17,17,15
"45",1,1,1,1,1,1
"46",6,7,6,6,6,8
"47",2,1,1,1,2,1
"48",5,6,5,7,7,6
"49",3,3,2,3,3,2
"50",2,3,2,1,2,1
"51",2,3,2,2,2,2
"55",1,1,1,2,1,1
"56",1,1,1,1,1,1
"57",1,2,1,1,1,2
"59",1,1,1,1,1,1
"61",1,2,1,1,1,1
"64",1,2,1,1,1,1
"65",1,1,2,1,1,2
"66",2,1,2,2,2,2
"67",2,1,1,2,1,2
"68",2,2,2,1,2,2
"69",2,2,1,2,2,2
"70",1,1,1,1,2,1
"72",1,2,1,1,1,1
"74",1,2,1,1,1,1
"76",2,1,1,2,2,1
"79",1,1,1,1,1,2
"81",3,3,3,2,3,2
"82",2,3,2,2,2,2
"83",2,2,2,2,3,2
"86",4,2,3,4,4,2
"88",2,3,3,3,3,2
"93",1,2,1,2,2,1
"95",2,2,2,2,2,2
"96",1,1,2,1,1,2
"100",1,2,2,1,1,2
"101",2,3,3,3,3,3
"102",2,2,1,2,1,1
"103",2,2,2,1,1,1
"104",2,2,2,1,2,2
"105",3,3,3,4,3,4
"106",9,9,8,9,9,9
"108",1,1,1,1,1,1
"109",26,23,22,27,22,25
"110",3,4,3,3,3,2
"111",8,5,5,5,8,4
"112",6,6,6,6,6,6
"113",7,7,5,4,6,4
"114",6,4,3,5,5,5
"115",2,2,2,1,1,1
"116",23,22,22,21,22,18
"117",9,9,9,8,8,8
"118",4,3,4,4,5,5
"119",1,1,1,1,1,1
"120",2,2,2,2,2,2
"121",29,29,34,27,27,26
"123",1,1,1,1,2,1
"124",4,4,4,4,4,4
"126",2,2,2,2,2,2
"127",14,15,14,14,15,15
"128",7,3,2,7,8,3
"129",4,3,2,2,3,4
"130",15,13,14,16,14,14
"131",11,12,12,10,11,11
"132",4,3,3,4,3,2
"133",19,19,19,19,19,19
"134",13,12,13,12,12,13
"135",18,19,18,18,18,18
"136",2,3,3,1,2,2
"137",4,4,4,4,4,3
"138",1,1,1,1,1,1
"139",4,4,4,4,4,4
"140",1,1,1,1,1,1
