"","number_of_peptides_A_3","number_of_peptides_B_3","number_of_peptides_A_1","number_of_peptides_B_2","number_of_peptides_A_2","number_of_peptides_B_1"
"1",106,76,98,75,98,76
"2",85,94,88,89,83,84
"3",79,86,69,81,74,75
"4",77,85,68,80,73,76
"5",94,90,84,85,85,88
"6",93,70,84,66,81,65
"7",77,78,72,77,67,76
"8",80,91,78,84,77,84
"9",80,86,78,77,75,76
"10",78,87,75,81,76,82
"11",71,81,74,76,65,68
"12",68,70,62,69,63,68
"13",77,61,76,56,75,62
"14",76,59,73,58,73,57
"15",62,73,60,65,70,69
"16",75,71,69,69,72,71
"17",63,65,61,71,60,65
"18",68,78,66,71,68,74
"19",72,65,62,66,65,64
"20",69,72,63,74,66,72
"21",71,59,61,44,62,55
"22",64,67,65,57,67,63
"23",56,60,49,56,49,53
"24",56,54,55,54,56,58
"25",55,46,57,39,57,40
"26",61,67,56,61,52,57
"27",66,55,69,47,63,55
"28",64,69,61,65,61,58
"29",50,52,48,49,40,52
"30",64,55,61,43,59,51
"31",60,57,49,56,55,54
"32",46,48,37,45,44,45
"33",65,53,51,53,48,48
"34",64,53,66,53,54,52
"35",63,66,53,57,56,52
"36",47,49,43,46,50,49
"37",50,49,52,54,49,53
"38",48,53,49,55,43,54
"39",56,47,61,47,59,45
"40",58,39,51,41,52,44
"41",55,36,53,38,56,37
"42",43,51,47,48,40,43
"43",44,43,39,48,42,44
"44",44,56,39,47,39,48
"45",46,45,51,43,49,47
"46",51,54,39,44,44,42
"47",51,59,53,50,49,48
"48",50,54,47,54,47,55
"49",46,51,41,45,39,44
"50",49,34,48,32,49,34
"51",48,49,51,48,43,42
"52",44,47,44,49,37,41
"53",52,43,54,40,49,45
"54",44,45,40,42,40,47
"55",47,35,49,28,47,35
"56",40,52,36,41,38,48
"57",30,32,28,31,34,30
"58",47,38,41,35,40,32
"59",38,46,36,38,35,39
"60",47,34,47,28,38,34
"61",44,47,39,41,44,40
"62",44,42,46,45,45,45
"63",35,44,34,38,37,44
"64",42,44,40,40,41,43
"65",39,38,42,36,40,38
"66",44,50,38,44,42,47
"67",43,28,43,28,40,27
"68",43,47,41,46,42,44
"69",45,29,41,26,40,22
"70",40,34,34,38,35,39
"71",42,34,44,29,40,33
"72",38,34,26,28,35,26
"73",35,40,32,35,33,39
"74",36,42,38,39,35,43
"75",36,39,33,37,32,38
