"","number_of_peptides_A_3","number_of_peptides_B_3","number_of_peptides_A_2","number_of_peptides_B_1","number_of_peptides_A_1","number_of_peptides_B_2"
"1",19,17,13,10,12,14
"2",5,5,4,4,4,3
"3",33,40,27,33,21,31
"4",2,2,2,7,2,2
"6",11,9,6,5,4,5
"7",3,6,5,4,5,5
"8",10,9,5,4,6,9
"9",2,7,3,7,4,3
"12",34,41,21,30,25,30
"14",7,10,7,10,10,11
"16",3,2,4,1,3,4
"17",19,21,21,22,24,21
"18",45,52,36,41,39,43
"22",14,13,10,8,12,10
"23",4,4,1,2,1,3
"25",61,67,59,64,55,58
"26",5,3,3,3,2,3
"27",18,2,2,2,2,2
"28",25,26,27,24,20,25
"29",5,10,8,6,6,9
"30",3,1,3,3,2,1
"31",20,16,17,14,15,17
"32",94,57,90,59,83,63
"33",1,11,3,7,2,8
"34",16,15,17,11,16,20
"35",53,54,49,50,51,50
"36",3,3,1,4,3,1
"37",6,5,3,5,4,3
"38",3,4,3,4,3,3
"39",67,71,53,43,57,67
"40",21,4,16,18,1,16
"41",36,27,28,30,20,30
"42",50,53,39,46,41,48
"43",27,31,25,29,24,29
"44",43,43,34,37,35,42
"45",18,18,15,21,17,16
"46",8,5,7,4,7,4
"47",22,29,25,31,31,31
"48",5,7,4,9,6,5
"49",17,17,17,17,14,17
"50",4,3,2,4,2,2
"51",22,19,22,10,18,14
"52",5,4,4,3,4,4
"53",16,15,15,13,11,15
"54",10,12,6,5,6,11
"55",1,3,1,2,1,1
"56",408,438,374,406,366,404
"57",96,100,91,93,90,102
"59",258,268,229,249,231,251
"61",130,143,110,127,116,127
"62",6,6,6,8,6,7
"64",20,17,19,19,15,18
"65",75,67,66,68,60,63
"66",6,6,6,8,5,2
"67",2,4,2,7,2,3
"68",14,14,8,14,14,8
"69",5,4,4,4,4,7
"70",35,39,38,35,29,33
"71",304,331,275,316,281,296
"72",4,5,4,4,2,2
"73",23,32,29,27,25,25
"76",4,1,3,2,3,3
"77",5,5,6,6,5,4
"78",14,13,13,11,12,14
"79",21,19,15,20,16,17
"81",20,24,18,19,15,21
