"","accession","organism","taxon_id"
"1","Q86U42","Homo sapiens",9606
"2","O75822","Homo sapiens",9606
"3","Q9H3H3","Homo sapiens",9606
"4","Q96P70","Homo sapiens",9606
"5","P28482","Homo sapiens",9606
"6","Q8WVM8","Homo sapiens",9606
"7","Q9Y2Z0","Homo sapiens",9606
"8","Q7L5D6","Homo sapiens",9606
"9","P27361","Homo sapiens",9606
"10","Q5VYK3","Homo sapiens",9606
"11","Q99615","Homo sapiens",9606
"12","O43324","Homo sapiens",9606
"13","P42566","Homo sapiens",9606
"14","O00231","Homo sapiens",9606
"15","A6NHR9","Homo sapiens",9606
"16","Q96EV2","Homo sapiens",9606
"17","P62877","Homo sapiens",9606
"18","Q5VWZ2","Homo sapiens",9606
"19","Q9NWH9","Homo sapiens",9606
"20","Q9NS69","Homo sapiens",9606
"21","O75427","Homo sapiens",9606
"22","O43583","Homo sapiens",9606
"23","Q92616","Homo sapiens",9606
"24","Q8IY67","Homo sapiens",9606
"25","Q96BP3","Homo sapiens",9606
"26","Q9UL63","Homo sapiens",9606
"27","P30566","Homo sapiens",9606
"28","P26641","Homo sapiens",9606
"29","O95249","Homo sapiens",9606
"30","P52272","Homo sapiens",9606
"31","Q9H7E9","Homo sapiens",9606
"32","P35269","Homo sapiens",9606
"33","Q86Y56","Homo sapiens",9606
"34","Q9P000","Homo sapiens",9606
"35","P27708","Homo sapiens",9606
"36","Q9NXG2","Homo sapiens",9606
"37","Q9H0S4","Homo sapiens",9606
"38","Q96G03","Homo sapiens",9606
"39","Q5RI15","Homo sapiens",9606
"40","Q3MHD2","Homo sapiens",9606
"41","Q92979","Homo sapiens",9606
"42","Q13144","Homo sapiens",9606
"43","Q16401","Homo sapiens",9606
"44","P62826","Homo sapiens",9606
"45","Q9Y5J7","Homo sapiens",9606
"46","O14497","Homo sapiens",9606
"47","Q13263","Homo sapiens",9606
"48","P14550","Homo sapiens",9606
"49","Q8ND24","Homo sapiens",9606
"50","O75937","Homo sapiens",9606
"51","O15160","Homo sapiens",9606
"52","P41236","Homo sapiens",9606
"53","Q6NXS1","Homo sapiens",9606
"54","O95684","Homo sapiens",9606
"55","O95456","Homo sapiens",9606
"56","P12270","Homo sapiens",9606
"57","Q9Y5X3","Homo sapiens",9606
"58","Q9Y312","Homo sapiens",9606
"59","P09382","Homo sapiens",9606
"60","Q7Z7C8","Homo sapiens",9606
"61","O60832","Homo sapiens",9606
"62","Q14498","Homo sapiens",9606
"63","P62310","Homo sapiens",9606
"64","O14737","Homo sapiens",9606
"65","Q15056","Homo sapiens",9606
"66","P38768","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"67","P62140","Homo sapiens",9606
"68","Q9Y285","Homo sapiens",9606
"69","Q99733","Homo sapiens",9606
"70","Q9UIA9","Homo sapiens",9606
"71","P63313","Homo sapiens",9606
"72","Q9H6Z4","Homo sapiens",9606
"73","P47755","Homo sapiens",9606
"74","Q01518","Homo sapiens",9606
"75","P05771","Homo sapiens",9606
"76","P29083","Homo sapiens",9606
"77","Q7Z2W4","Homo sapiens",9606
"78","P0DP23","Homo sapiens",9606
"79","P0DP24","Homo sapiens",9606
"80","P0DP25","Homo sapiens",9606
"81","Q99287","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"82","P07741","Homo sapiens",9606
"83","Q96C90","Homo sapiens",9606
"84","Q9NY33","Homo sapiens",9606
"85","Q9UBF6","Homo sapiens",9606
"86","Q9Y5S9","Homo sapiens",9606
"87","O60927","Homo sapiens",9606
"88","Q9NYB0","Homo sapiens",9606
"89","P25398","Homo sapiens",9606
"90","O00299","Homo sapiens",9606
"91","Q12434","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"92","O14545","Homo sapiens",9606
"93","Q9Y4E8","Homo sapiens",9606
"94","Q9H2C0","Homo sapiens",9606
"95","Q9Y5J9","Homo sapiens",9606
"96","Q9UN36","Homo sapiens",9606
"97","P06634","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"98","Q96I24","Homo sapiens",9606
"99","Q9HD15","Homo sapiens",9606
"100","Q9NXV2","Homo sapiens",9606
"101","Q8TAG9","Homo sapiens",9606
"102","Q9NQT5","Homo sapiens",9606
"103","Q9Y5Z4","Homo sapiens",9606
"104","Q04760","Homo sapiens",9606
"105","O00148","Homo sapiens",9606
"106","Q9NRF9","Homo sapiens",9606
"107","O60869","Homo sapiens",9606
"108","P49736","Homo sapiens",9606
"109","Q08945","Homo sapiens",9606
"110","Q14151","Homo sapiens",9606
"111","Q15424","Homo sapiens",9606
"112","P40429","Homo sapiens",9606
"113","P30520","Homo sapiens",9606
"114","Q9H267","Homo sapiens",9606
"115","Q9Y4A5","Homo sapiens",9606
"116","Q9H9Y4","Homo sapiens",9606
"117","Q9BXR0","Homo sapiens",9606
"118","P63151","Homo sapiens",9606
